sentid	pairid	sentence	comparison	ROI	word
122	61	le pilote déménage et sont grands	unexpected	4	sont
123	62	le pilote déménage et est vieux	expected	4	est
124	62	le pilote déménage et sont vieux	unexpected	4	sont
125	63	le pilote déménage et est jeune	expected	4	est
126	63	le pilote déménage et sont jeunes	unexpected	4	sont
127	64	le consultant déménage et déménage	expected	4	déménage
128	64	le consultant déménage et déménagent	unexpected	4	déménagent
129	65	le consultant déménage et parle	expected	4	parle
130	65	le consultant déménage et parlent	unexpected	4	parlent
131	66	le consultant déménage et retourne	expected	4	retourne
132	66	le consultant déménage et retournent	unexpected	4	retournent
133	67	le consultant déménage et est petit	expected	4	est
134	67	le consultant déménage et sont petits	unexpected	4	sont
135	68	le consultant déménage et est grand	expected	4	est
136	68	le consultant déménage et sont grands	unexpected	4	sont
137	69	le consultant déménage et est vieux	expected	4	est
138	69	le consultant déménage et sont vieux	unexpected	4	sont
139	70	le consultant déménage et est jeune	expected	4	est
140	70	le consultant déménage et sont jeunes	unexpected	4	sont
141	71	l' auteur parle et déménage	expected	4	déménage
142	71	l' auteur parle et déménagent	unexpected	4	déménagent
143	72	l' auteur parle et parle	expected	4	parle
144	72	l' auteur parle et parlent	unexpected	4	parlent
145	73	l' auteur parle et retourne	expected	4	retourne
146	73	l' auteur parle et retournent	unexpected	4	retournent
147	74	l' auteur parle et est petit	expected	4	est
148	74	l' auteur parle et sont petits	unexpected	4	sont
149	75	l' auteur parle et est grand	expected	4	est
150	75	l' auteur parle et sont grands	unexpected	4	sont
151	76	l' auteur parle et est vieux	expected	4	est
152	76	l' auteur parle et sont vieux	unexpected	4	sont
153	77	l' auteur parle et est jeune	expected	4	est
154	77	l' auteur parle et sont jeunes	unexpected	4	sont
155	78	le directeur parle et déménage	expected	4	déménage
156	78	le directeur parle et déménagent	unexpected	4	déménagent
157	79	le directeur parle et parle	expected	4	parle
158	79	le directeur parle et parlent	unexpected	4	parlent
159	80	le directeur parle et retourne	expected	4	retourne
160	80	le directeur parle et retournent	unexpected	4	retournent
161	81	le directeur parle et est petit	expected	4	est
162	81	le directeur parle et sont petits	unexpected	4	sont
163	82	le directeur parle et est grand	expected	4	est
164	82	le directeur parle et sont grands	unexpected	4	sont
165	83	le directeur parle et est vieux	expected	4	est
166	83	le directeur parle et sont vieux	unexpected	4	sont
167	84	le directeur parle et est jeune	expected	4	est
168	84	le directeur parle et sont jeunes	unexpected	4	sont
169	85	l' agriculteur parle et déménage	expected	4	déménage
170	85	l' agriculteur parle et déménagent	unexpected	4	déménagent
171	86	l' agriculteur parle et parle	expected	4	parle
172	86	l' agriculteur parle et parlent	unexpected	4	parlent
173	87	l' agriculteur parle et retourne	expected	4	retourne
174	87	l' agriculteur parle et retournent	unexpected	4	retournent
175	88	l' agriculteur parle et est petit	expected	4	est
176	88	l' agriculteur parle et sont petits	unexpected	4	sont
177	89	l' agriculteur parle et est grand	expected	4	est
178	89	l' agriculteur parle et sont grands	unexpected	4	sont
179	90	l' agriculteur parle et est vieux	expected	4	est
180	90	l' agriculteur parle et sont vieux	unexpected	4	sont
181	91	l' agriculteur parle et est jeune	expected	4	est
182	91	l' agriculteur parle et sont jeunes	unexpected	4	sont
183	92	le chirurgien parle et déménage	expected	4	déménage
184	92	le chirurgien parle et déménagent	unexpected	4	déménagent
185	93	le chirurgien parle et parle	expected	4	parle
186	93	le chirurgien parle et parlent	unexpected	4	parlent
187	94	le chirurgien parle et retourne	expected	4	retourne
188	94	le chirurgien parle et retournent	unexpected	4	retournent
189	95	le chirurgien parle et est petit	expected	4	est
190	95	le chirurgien parle et sont petits	unexpected	4	sont
191	96	le chirurgien parle et est grand	expected	4	est
192	96	le chirurgien parle et sont grands	unexpected	4	sont
193	97	le chirurgien parle et est vieux	expected	4	est
194	97	le chirurgien parle et sont vieux	unexpected	4	sont
195	98	le chirurgien parle et est jeune	expected	4	est
196	98	le chirurgien parle et sont jeunes	unexpected	4	sont
197	99	le sénateur parle et déménage	expected	4	déménage
198	99	le sénateur parle et déménagent	unexpected	4	déménagent
199	100	le sénateur parle et parle	expected	4	parle
200	100	le sénateur parle et parlent	unexpected	4	parlent
201	101	le sénateur parle et retourne	expected	4	retourne
202	101	le sénateur parle et retournent	unexpected	4	retournent
203	102	le sénateur parle et est petit	expected	4	est
204	102	le sénateur parle et sont petits	unexpected	4	sont
205	103	le sénateur parle et est grand	expected	4	est
206	103	le sénateur parle et sont grands	unexpected	4	sont
207	104	le sénateur parle et est vieux	expected	4	est
208	104	le sénateur parle et sont vieux	unexpected	4	sont
209	105	le sénateur parle et est jeune	expected	4	est
210	105	le sénateur parle et sont jeunes	unexpected	4	sont
211	106	le professeur parle et déménage	expected	4	déménage
212	106	le professeur parle et déménagent	unexpected	4	déménagent
213	107	le professeur parle et parle	expected	4	parle
214	107	le professeur parle et parlent	unexpected	4	parlent
215	108	le professeur parle et retourne	expected	4	retourne
216	108	le professeur parle et retournent	unexpected	4	retournent
217	109	le professeur parle et est petit	expected	4	est
218	109	le professeur parle et sont petits	unexpected	4	sont
219	110	le professeur parle et est grand	expected	4	est
220	110	le professeur parle et sont grands	unexpected	4	sont
221	111	le professeur parle et est vieux	expected	4	est
222	111	le professeur parle et sont vieux	unexpected	4	sont
223	112	le professeur parle et est jeune	expected	4	est
224	112	le professeur parle et sont jeunes	unexpected	4	sont
225	113	le client parle et déménage	expected	4	déménage
226	113	le client parle et déménagent	unexpected	4	déménagent
227	114	le client parle et parle	expected	4	parle
228	114	le client parle et parlent	unexpected	4	parlent
229	115	le client parle et retourne	expected	4	retourne
230	115	le client parle et retournent	unexpected	4	retournent
231	116	le client parle et est petit	expected	4	est
232	116	le client parle et sont petits	unexpected	4	sont
233	117	le client parle et est grand	expected	4	est
234	117	le client parle et sont grands	unexpected	4	sont
235	118	le client parle et est vieux	expected	4	est
236	118	le client parle et sont vieux	unexpected	4	sont
237	119	le client parle et est jeune	expected	4	est
238	119	le client parle et sont jeunes	unexpected	4	sont
239	120	l' officier parle et déménage	expected	4	déménage
240	120	l' officier parle et déménagent	unexpected	4	déménagent
241	121	l' officier parle et parle	expected	4	parle
242	121	l' officier parle et parlent	unexpected	4	parlent
243	122	l' officier parle et retourne	expected	4	retourne
244	122	l' officier parle et retournent	unexpected	4	retournent
245	123	l' officier parle et est petit	expected	4	est
246	123	l' officier parle et sont petits	unexpected	4	sont
247	124	l' officier parle et est grand	expected	4	est
248	124	l' officier parle et sont grands	unexpected	4	sont
249	125	l' officier parle et est vieux	expected	4	est
250	125	l' officier parle et sont vieux	unexpected	4	sont
251	126	l' officier parle et est jeune	expected	4	est
252	126	l' officier parle et sont jeunes	unexpected	4	sont
253	127	le pilote parle et déménage	expected	4	déménage
254	127	le pilote parle et déménagent	unexpected	4	déménagent
255	128	le pilote parle et parle	expected	4	parle
256	128	le pilote parle et parlent	unexpected	4	parlent
257	129	le pilote parle et retourne	expected	4	retourne
258	129	le pilote parle et retournent	unexpected	4	retournent
259	130	le pilote parle et est petit	expected	4	est
260	130	le pilote parle et sont petits	unexpected	4	sont
261	131	le pilote parle et est grand	expected	4	est
262	131	le pilote parle et sont grands	unexpected	4	sont
263	132	le pilote parle et est vieux	expected	4	est
264	132	le pilote parle et sont vieux	unexpected	4	sont
265	133	le pilote parle et est jeune	expected	4	est
266	133	le pilote parle et sont jeunes	unexpected	4	sont
267	134	le consultant parle et déménage	expected	4	déménage
268	134	le consultant parle et déménagent	unexpected	4	déménagent
269	135	le consultant parle et parle	expected	4	parle
270	135	le consultant parle et parlent	unexpected	4	parlent
271	136	le consultant parle et retourne	expected	4	retourne
272	136	le consultant parle et retournent	unexpected	4	retournent
273	137	le consultant parle et est petit	expected	4	est
274	137	le consultant parle et sont petits	unexpected	4	sont
275	138	le consultant parle et est grand	expected	4	est
276	138	le consultant parle et sont grands	unexpected	4	sont
277	139	le consultant parle et est vieux	expected	4	est
278	139	le consultant parle et sont vieux	unexpected	4	sont
279	140	le consultant parle et est jeune	expected	4	est
280	140	le consultant parle et sont jeunes	unexpected	4	sont
281	141	l' auteur retourne et déménage	expected	4	déménage
282	141	l' auteur retourne et déménagent	unexpected	4	déménagent
283	142	l' auteur retourne et parle	expected	4	parle
284	142	l' auteur retourne et parlent	unexpected	4	parlent
285	143	l' auteur retourne et retourne	expected	4	retourne
286	143	l' auteur retourne et retournent	unexpected	4	retournent
287	144	l' auteur retourne et est petit	expected	4	est
288	144	l' auteur retourne et sont petits	unexpected	4	sont
289	145	l' auteur retourne et est grand	expected	4	est
290	145	l' auteur retourne et sont grands	unexpected	4	sont
291	146	l' auteur retourne et est vieux	expected	4	est
292	146	l' auteur retourne et sont vieux	unexpected	4	sont
293	147	l' auteur retourne et est jeune	expected	4	est
294	147	l' auteur retourne et sont jeunes	unexpected	4	sont
295	148	le directeur retourne et déménage	expected	4	déménage
296	148	le directeur retourne et déménagent	unexpected	4	déménagent
297	149	le directeur retourne et parle	expected	4	parle
298	149	le directeur retourne et parlent	unexpected	4	parlent
299	150	le directeur retourne et retourne	expected	4	retourne
300	150	le directeur retourne et retournent	unexpected	4	retournent
301	151	le directeur retourne et est petit	expected	4	est
302	151	le directeur retourne et sont petits	unexpected	4	sont
303	152	le directeur retourne et est grand	expected	4	est
304	152	le directeur retourne et sont grands	unexpected	4	sont
305	153	le directeur retourne et est vieux	expected	4	est
306	153	le directeur retourne et sont vieux	unexpected	4	sont
307	154	le directeur retourne et est jeune	expected	4	est
308	154	le directeur retourne et sont jeunes	unexpected	4	sont
309	155	l' agriculteur retourne et déménage	expected	4	déménage
310	155	l' agriculteur retourne et déménagent	unexpected	4	déménagent
311	156	l' agriculteur retourne et parle	expected	4	parle
312	156	l' agriculteur retourne et parlent	unexpected	4	parlent
313	157	l' agriculteur retourne et retourne	expected	4	retourne
314	157	l' agriculteur retourne et retournent	unexpected	4	retournent
315	158	l' agriculteur retourne et est petit	expected	4	est
316	158	l' agriculteur retourne et sont petits	unexpected	4	sont
317	159	l' agriculteur retourne et est grand	expected	4	est
318	159	l' agriculteur retourne et sont grands	unexpected	4	sont
319	160	l' agriculteur retourne et est vieux	expected	4	est
320	160	l' agriculteur retourne et sont vieux	unexpected	4	sont
321	161	l' agriculteur retourne et est jeune	expected	4	est
322	161	l' agriculteur retourne et sont jeunes	unexpected	4	sont
323	162	le chirurgien retourne et déménage	expected	4	déménage
324	162	le chirurgien retourne et déménagent	unexpected	4	déménagent
325	163	le chirurgien retourne et parle	expected	4	parle
326	163	le chirurgien retourne et parlent	unexpected	4	parlent
327	164	le chirurgien retourne et retourne	expected	4	retourne
328	164	le chirurgien retourne et retournent	unexpected	4	retournent
329	165	le chirurgien retourne et est petit	expected	4	est
330	165	le chirurgien retourne et sont petits	unexpected	4	sont
331	166	le chirurgien retourne et est grand	expected	4	est
332	166	le chirurgien retourne et sont grands	unexpected	4	sont
333	167	le chirurgien retourne et est vieux	expected	4	est
334	167	le chirurgien retourne et sont vieux	unexpected	4	sont
335	168	le chirurgien retourne et est jeune	expected	4	est
336	168	le chirurgien retourne et sont jeunes	unexpected	4	sont
337	169	le sénateur retourne et déménage	expected	4	déménage
338	169	le sénateur retourne et déménagent	unexpected	4	déménagent
339	170	le sénateur retourne et parle	expected	4	parle
340	170	le sénateur retourne et parlent	unexpected	4	parlent
341	171	le sénateur retourne et retourne	expected	4	retourne
342	171	le sénateur retourne et retournent	unexpected	4	retournent
343	172	le sénateur retourne et est petit	expected	4	est
344	172	le sénateur retourne et sont petits	unexpected	4	sont
345	173	le sénateur retourne et est grand	expected	4	est
346	173	le sénateur retourne et sont grands	unexpected	4	sont
347	174	le sénateur retourne et est vieux	expected	4	est
348	174	le sénateur retourne et sont vieux	unexpected	4	sont
349	175	le sénateur retourne et est jeune	expected	4	est
350	175	le sénateur retourne et sont jeunes	unexpected	4	sont
351	176	le professeur retourne et déménage	expected	4	déménage
352	176	le professeur retourne et déménagent	unexpected	4	déménagent
353	177	le professeur retourne et parle	expected	4	parle
354	177	le professeur retourne et parlent	unexpected	4	parlent
355	178	le professeur retourne et retourne	expected	4	retourne
356	178	le professeur retourne et retournent	unexpected	4	retournent
357	179	le professeur retourne et est petit	expected	4	est
358	179	le professeur retourne et sont petits	unexpected	4	sont
359	180	le professeur retourne et est grand	expected	4	est
360	180	le professeur retourne et sont grands	unexpected	4	sont
361	181	le professeur retourne et est vieux	expected	4	est
362	181	le professeur retourne et sont vieux	unexpected	4	sont
363	182	le professeur retourne et est jeune	expected	4	est
364	182	le professeur retourne et sont jeunes	unexpected	4	sont
365	183	le client retourne et déménage	expected	4	déménage
366	183	le client retourne et déménagent	unexpected	4	déménagent
367	184	le client retourne et parle	expected	4	parle
368	184	le client retourne et parlent	unexpected	4	parlent
369	185	le client retourne et retourne	expected	4	retourne
370	185	le client retourne et retournent	unexpected	4	retournent
371	186	le client retourne et est petit	expected	4	est
372	186	le client retourne et sont petits	unexpected	4	sont
373	187	le client retourne et est grand	expected	4	est
374	187	le client retourne et sont grands	unexpected	4	sont
375	188	le client retourne et est vieux	expected	4	est
376	188	le client retourne et sont vieux	unexpected	4	sont
377	189	le client retourne et est jeune	expected	4	est
378	189	le client retourne et sont jeunes	unexpected	4	sont
379	190	l' officier retourne et déménage	expected	4	déménage
380	190	l' officier retourne et déménagent	unexpected	4	déménagent
381	191	l' officier retourne et parle	expected	4	parle
382	191	l' officier retourne et parlent	unexpected	4	parlent
383	192	l' officier retourne et retourne	expected	4	retourne
384	192	l' officier retourne et retournent	unexpected	4	retournent
385	193	l' officier retourne et est petit	expected	4	est
386	193	l' officier retourne et sont petits	unexpected	4	sont
387	194	l' officier retourne et est grand	expected	4	est
388	194	l' officier retourne et sont grands	unexpected	4	sont
389	195	l' officier retourne et est vieux	expected	4	est
390	195	l' officier retourne et sont vieux	unexpected	4	sont
391	196	l' officier retourne et est jeune	expected	4	est
392	196	l' officier retourne et sont jeunes	unexpected	4	sont
393	197	le pilote retourne et déménage	expected	4	déménage
394	197	le pilote retourne et déménagent	unexpected	4	déménagent
395	198	le pilote retourne et parle	expected	4	parle
396	198	le pilote retourne et parlent	unexpected	4	parlent
397	199	le pilote retourne et retourne	expected	4	retourne
398	199	le pilote retourne et retournent	unexpected	4	retournent
399	200	le pilote retourne et est petit	expected	4	est
400	200	le pilote retourne et sont petits	unexpected	4	sont
401	201	le pilote retourne et est grand	expected	4	est
402	201	le pilote retourne et sont grands	unexpected	4	sont
403	202	le pilote retourne et est vieux	expected	4	est
404	202	le pilote retourne et sont vieux	unexpected	4	sont
405	203	le pilote retourne et est jeune	expected	4	est
406	203	le pilote retourne et sont jeunes	unexpected	4	sont
407	204	le consultant retourne et déménage	expected	4	déménage
408	204	le consultant retourne et déménagent	unexpected	4	déménagent
409	205	le consultant retourne et parle	expected	4	parle
410	205	le consultant retourne et parlent	unexpected	4	parlent
411	206	le consultant retourne et retourne	expected	4	retourne
412	206	le consultant retourne et retournent	unexpected	4	retournent
413	207	le consultant retourne et est petit	expected	4	est
414	207	le consultant retourne et sont petits	unexpected	4	sont
415	208	le consultant retourne et est grand	expected	4	est
416	208	le consultant retourne et sont grands	unexpected	4	sont
417	209	le consultant retourne et est vieux	expected	4	est
418	209	le consultant retourne et sont vieux	unexpected	4	sont
419	210	le consultant retourne et est jeune	expected	4	est
420	210	le consultant retourne et sont jeunes	unexpected	4	sont
421	211	l' auteur est petit et déménage	expected	5	déménage
422	211	l' auteur est petit et déménagent	unexpected	5	déménagent
423	212	l' auteur est petit et parle	expected	5	parle
424	212	l' auteur est petit et parlent	unexpected	5	parlent
425	213	l' auteur est petit et retourne	expected	5	retourne
426	213	l' auteur est petit et retournent	unexpected	5	retournent
427	214	l' auteur est petit et est petit	expected	5	est
428	214	l' auteur est petit et sont petits	unexpected	5	sont
429	215	l' auteur est petit et est grand	expected	5	est
430	215	l' auteur est petit et sont grands	unexpected	5	sont
431	216	l' auteur est petit et est vieux	expected	5	est
432	216	l' auteur est petit et sont vieux	unexpected	5	sont
433	217	l' auteur est petit et est jeune	expected	5	est
434	217	l' auteur est petit et sont jeunes	unexpected	5	sont
435	218	le directeur est petit et déménage	expected	5	déménage
436	218	le directeur est petit et déménagent	unexpected	5	déménagent
437	219	le directeur est petit et parle	expected	5	parle
438	219	le directeur est petit et parlent	unexpected	5	parlent
439	220	le directeur est petit et retourne	expected	5	retourne
440	220	le directeur est petit et retournent	unexpected	5	retournent
441	221	le directeur est petit et est petit	expected	5	est
442	221	le directeur est petit et sont petits	unexpected	5	sont
443	222	le directeur est petit et est grand	expected	5	est
444	222	le directeur est petit et sont grands	unexpected	5	sont
445	223	le directeur est petit et est vieux	expected	5	est
446	223	le directeur est petit et sont vieux	unexpected	5	sont
447	224	le directeur est petit et est jeune	expected	5	est
448	224	le directeur est petit et sont jeunes	unexpected	5	sont
449	225	l' agriculteur est petit et déménage	expected	5	déménage
450	225	l' agriculteur est petit et déménagent	unexpected	5	déménagent
451	226	l' agriculteur est petit et parle	expected	5	parle
452	226	l' agriculteur est petit et parlent	unexpected	5	parlent
453	227	l' agriculteur est petit et retourne	expected	5	retourne
454	227	l' agriculteur est petit et retournent	unexpected	5	retournent
455	228	l' agriculteur est petit et est petit	expected	5	est
456	228	l' agriculteur est petit et sont petits	unexpected	5	sont
457	229	l' agriculteur est petit et est grand	expected	5	est
458	229	l' agriculteur est petit et sont grands	unexpected	5	sont
459	230	l' agriculteur est petit et est vieux	expected	5	est
460	230	l' agriculteur est petit et sont vieux	unexpected	5	sont
461	231	l' agriculteur est petit et est jeune	expected	5	est
462	231	l' agriculteur est petit et sont jeunes	unexpected	5	sont
463	232	le chirurgien est petit et déménage	expected	5	déménage
464	232	le chirurgien est petit et déménagent	unexpected	5	déménagent
465	233	le chirurgien est petit et parle	expected	5	parle
466	233	le chirurgien est petit et parlent	unexpected	5	parlent
467	234	le chirurgien est petit et retourne	expected	5	retourne
468	234	le chirurgien est petit et retournent	unexpected	5	retournent
469	235	le chirurgien est petit et est petit	expected	5	est
470	235	le chirurgien est petit et sont petits	unexpected	5	sont
471	236	le chirurgien est petit et est grand	expected	5	est
472	236	le chirurgien est petit et sont grands	unexpected	5	sont
473	237	le chirurgien est petit et est vieux	expected	5	est
474	237	le chirurgien est petit et sont vieux	unexpected	5	sont
475	238	le chirurgien est petit et est jeune	expected	5	est
476	238	le chirurgien est petit et sont jeunes	unexpected	5	sont
477	239	le sénateur est petit et déménage	expected	5	déménage
478	239	le sénateur est petit et déménagent	unexpected	5	déménagent
479	240	le sénateur est petit et parle	expected	5	parle
480	240	le sénateur est petit et parlent	unexpected	5	parlent
481	241	le sénateur est petit et retourne	expected	5	retourne
482	241	le sénateur est petit et retournent	unexpected	5	retournent
483	242	le sénateur est petit et est petit	expected	5	est
484	242	le sénateur est petit et sont petits	unexpected	5	sont
485	243	le sénateur est petit et est grand	expected	5	est
486	243	le sénateur est petit et sont grands	unexpected	5	sont
487	244	le sénateur est petit et est vieux	expected	5	est
488	244	le sénateur est petit et sont vieux	unexpected	5	sont
489	245	le sénateur est petit et est jeune	expected	5	est
490	245	le sénateur est petit et sont jeunes	unexpected	5	sont
491	246	le professeur est petit et déménage	expected	5	déménage
492	246	le professeur est petit et déménagent	unexpected	5	déménagent
493	247	le professeur est petit et parle	expected	5	parle
494	247	le professeur est petit et parlent	unexpected	5	parlent
495	248	le professeur est petit et retourne	expected	5	retourne
496	248	le professeur est petit et retournent	unexpected	5	retournent
497	249	le professeur est petit et est petit	expected	5	est
498	249	le professeur est petit et sont petits	unexpected	5	sont
499	250	le professeur est petit et est grand	expected	5	est
500	250	le professeur est petit et sont grands	unexpected	5	sont
501	251	le professeur est petit et est vieux	expected	5	est
502	251	le professeur est petit et sont vieux	unexpected	5	sont
503	252	le professeur est petit et est jeune	expected	5	est
504	252	le professeur est petit et sont jeunes	unexpected	5	sont
505	253	le client est petit et déménage	expected	5	déménage
506	253	le client est petit et déménagent	unexpected	5	déménagent
507	254	le client est petit et parle	expected	5	parle
508	254	le client est petit et parlent	unexpected	5	parlent
509	255	le client est petit et retourne	expected	5	retourne
510	255	le client est petit et retournent	unexpected	5	retournent
511	256	le client est petit et est petit	expected	5	est
512	256	le client est petit et sont petits	unexpected	5	sont
513	257	le client est petit et est grand	expected	5	est
514	257	le client est petit et sont grands	unexpected	5	sont
515	258	le client est petit et est vieux	expected	5	est
516	258	le client est petit et sont vieux	unexpected	5	sont
517	259	le client est petit et est jeune	expected	5	est
518	259	le client est petit et sont jeunes	unexpected	5	sont
519	260	l' officier est petit et déménage	expected	5	déménage
520	260	l' officier est petit et déménagent	unexpected	5	déménagent
521	261	l' officier est petit et parle	expected	5	parle
522	261	l' officier est petit et parlent	unexpected	5	parlent
523	262	l' officier est petit et retourne	expected	5	retourne
524	262	l' officier est petit et retournent	unexpected	5	retournent
525	263	l' officier est petit et est petit	expected	5	est
526	263	l' officier est petit et sont petits	unexpected	5	sont
527	264	l' officier est petit et est grand	expected	5	est
528	264	l' officier est petit et sont grands	unexpected	5	sont
529	265	l' officier est petit et est vieux	expected	5	est
530	265	l' officier est petit et sont vieux	unexpected	5	sont
531	266	l' officier est petit et est jeune	expected	5	est
532	266	l' officier est petit et sont jeunes	unexpected	5	sont
533	267	le pilote est petit et déménage	expected	5	déménage
534	267	le pilote est petit et déménagent	unexpected	5	déménagent
535	268	le pilote est petit et parle	expected	5	parle
