sentid	pairid	sentence	comparison	ROI	word
78	39	les professeurs devant les gardes est grand	unexpected	5	est
79	40	les professeurs devant les gardes déménagent	expected	5	déménagent
80	40	les professeurs devant les gardes déménage	unexpected	5	déménage
81	41	les professeurs devant les gardes parlent	expected	5	parlent
82	41	les professeurs devant les gardes parle	unexpected	5	parle
83	42	les professeurs devant les gardes retournent	expected	5	retournent
84	42	les professeurs devant les gardes retourne	unexpected	5	retourne
85	43	les clients devant les gardes sont vieux	expected	5	sont
86	43	les clients devant les gardes est vieux	unexpected	5	est
87	44	les clients devant les gardes sont jeunes	expected	5	sont
88	44	les clients devant les gardes est jeune	unexpected	5	est
89	45	les clients devant les gardes sont petits	expected	5	sont
90	45	les clients devant les gardes est petit	unexpected	5	est
91	46	les clients devant les gardes sont grands	expected	5	sont
92	46	les clients devant les gardes est grand	unexpected	5	est
93	47	les clients devant les gardes déménagent	expected	5	déménagent
94	47	les clients devant les gardes déménage	unexpected	5	déménage
95	48	les clients devant les gardes parlent	expected	5	parlent
96	48	les clients devant les gardes parle	unexpected	5	parle
97	49	les clients devant les gardes retournent	expected	5	retournent
98	49	les clients devant les gardes retourne	unexpected	5	retourne
99	50	les officiers devant les gardes sont vieux	expected	5	sont
100	50	les officiers devant les gardes est vieux	unexpected	5	est
101	51	les officiers devant les gardes sont jeunes	expected	5	sont
102	51	les officiers devant les gardes est jeune	unexpected	5	est
103	52	les officiers devant les gardes sont petits	expected	5	sont
104	52	les officiers devant les gardes est petit	unexpected	5	est
105	53	les officiers devant les gardes sont grands	expected	5	sont
106	53	les officiers devant les gardes est grand	unexpected	5	est
107	54	les officiers devant les gardes déménagent	expected	5	déménagent
108	54	les officiers devant les gardes déménage	unexpected	5	déménage
109	55	les officiers devant les gardes parlent	expected	5	parlent
110	55	les officiers devant les gardes parle	unexpected	5	parle
111	56	les officiers devant les gardes retournent	expected	5	retournent
112	56	les officiers devant les gardes retourne	unexpected	5	retourne
113	57	les pilotes devant les gardes sont vieux	expected	5	sont
114	57	les pilotes devant les gardes est vieux	unexpected	5	est
115	58	les pilotes devant les gardes sont jeunes	expected	5	sont
116	58	les pilotes devant les gardes est jeune	unexpected	5	est
117	59	les pilotes devant les gardes sont petits	expected	5	sont
118	59	les pilotes devant les gardes est petit	unexpected	5	est
119	60	les pilotes devant les gardes sont grands	expected	5	sont
120	60	les pilotes devant les gardes est grand	unexpected	5	est
121	61	les pilotes devant les gardes déménagent	expected	5	déménagent
122	61	les pilotes devant les gardes déménage	unexpected	5	déménage
123	62	les pilotes devant les gardes parlent	expected	5	parlent
124	62	les pilotes devant les gardes parle	unexpected	5	parle
125	63	les pilotes devant les gardes retournent	expected	5	retournent
126	63	les pilotes devant les gardes retourne	unexpected	5	retourne
127	64	les consultants devant les gardes sont vieux	expected	5	sont
128	64	les consultants devant les gardes est vieux	unexpected	5	est
129	65	les consultants devant les gardes sont jeunes	expected	5	sont
130	65	les consultants devant les gardes est jeune	unexpected	5	est
131	66	les consultants devant les gardes sont petits	expected	5	sont
132	66	les consultants devant les gardes est petit	unexpected	5	est
133	67	les consultants devant les gardes sont grands	expected	5	sont
134	67	les consultants devant les gardes est grand	unexpected	5	est
135	68	les consultants devant les gardes déménagent	expected	5	déménagent
136	68	les consultants devant les gardes déménage	unexpected	5	déménage
137	69	les consultants devant les gardes parlent	expected	5	parlent
138	69	les consultants devant les gardes parle	unexpected	5	parle
139	70	les consultants devant les gardes retournent	expected	5	retournent
140	70	les consultants devant les gardes retourne	unexpected	5	retourne
141	71	les auteurs derrière les gardes sont vieux	expected	5	sont
142	71	les auteurs derrière les gardes est vieux	unexpected	5	est
143	72	les auteurs derrière les gardes sont jeunes	expected	5	sont
144	72	les auteurs derrière les gardes est jeune	unexpected	5	est
145	73	les auteurs derrière les gardes sont petits	expected	5	sont
146	73	les auteurs derrière les gardes est petit	unexpected	5	est
147	74	les auteurs derrière les gardes sont grands	expected	5	sont
148	74	les auteurs derrière les gardes est grand	unexpected	5	est
149	75	les auteurs derrière les gardes déménagent	expected	5	déménagent
150	75	les auteurs derrière les gardes déménage	unexpected	5	déménage
151	76	les auteurs derrière les gardes parlent	expected	5	parlent
152	76	les auteurs derrière les gardes parle	unexpected	5	parle
153	77	les auteurs derrière les gardes retournent	expected	5	retournent
154	77	les auteurs derrière les gardes retourne	unexpected	5	retourne
155	78	les directeurs derrière les gardes sont vieux	expected	5	sont
156	78	les directeurs derrière les gardes est vieux	unexpected	5	est
157	79	les directeurs derrière les gardes sont jeunes	expected	5	sont
158	79	les directeurs derrière les gardes est jeune	unexpected	5	est
159	80	les directeurs derrière les gardes sont petits	expected	5	sont
160	80	les directeurs derrière les gardes est petit	unexpected	5	est
161	81	les directeurs derrière les gardes sont grands	expected	5	sont
162	81	les directeurs derrière les gardes est grand	unexpected	5	est
163	82	les directeurs derrière les gardes déménagent	expected	5	déménagent
164	82	les directeurs derrière les gardes déménage	unexpected	5	déménage
165	83	les directeurs derrière les gardes parlent	expected	5	parlent
166	83	les directeurs derrière les gardes parle	unexpected	5	parle
167	84	les directeurs derrière les gardes retournent	expected	5	retournent
168	84	les directeurs derrière les gardes retourne	unexpected	5	retourne
169	85	les agriculteurs derrière les gardes sont vieux	expected	5	sont
170	85	les agriculteurs derrière les gardes est vieux	unexpected	5	est
171	86	les agriculteurs derrière les gardes sont jeunes	expected	5	sont
172	86	les agriculteurs derrière les gardes est jeune	unexpected	5	est
173	87	les agriculteurs derrière les gardes sont petits	expected	5	sont
174	87	les agriculteurs derrière les gardes est petit	unexpected	5	est
175	88	les agriculteurs derrière les gardes sont grands	expected	5	sont
176	88	les agriculteurs derrière les gardes est grand	unexpected	5	est
177	89	les agriculteurs derrière les gardes déménagent	expected	5	déménagent
178	89	les agriculteurs derrière les gardes déménage	unexpected	5	déménage
179	90	les agriculteurs derrière les gardes parlent	expected	5	parlent
180	90	les agriculteurs derrière les gardes parle	unexpected	5	parle
181	91	les agriculteurs derrière les gardes retournent	expected	5	retournent
182	91	les agriculteurs derrière les gardes retourne	unexpected	5	retourne
183	92	les chirurgiens derrière les gardes sont vieux	expected	5	sont
184	92	les chirurgiens derrière les gardes est vieux	unexpected	5	est
185	93	les chirurgiens derrière les gardes sont jeunes	expected	5	sont
186	93	les chirurgiens derrière les gardes est jeune	unexpected	5	est
187	94	les chirurgiens derrière les gardes sont petits	expected	5	sont
188	94	les chirurgiens derrière les gardes est petit	unexpected	5	est
189	95	les chirurgiens derrière les gardes sont grands	expected	5	sont
190	95	les chirurgiens derrière les gardes est grand	unexpected	5	est
191	96	les chirurgiens derrière les gardes déménagent	expected	5	déménagent
192	96	les chirurgiens derrière les gardes déménage	unexpected	5	déménage
193	97	les chirurgiens derrière les gardes parlent	expected	5	parlent
194	97	les chirurgiens derrière les gardes parle	unexpected	5	parle
195	98	les chirurgiens derrière les gardes retournent	expected	5	retournent
196	98	les chirurgiens derrière les gardes retourne	unexpected	5	retourne
197	99	les sénateurs derrière les gardes sont vieux	expected	5	sont
198	99	les sénateurs derrière les gardes est vieux	unexpected	5	est
199	100	les sénateurs derrière les gardes sont jeunes	expected	5	sont
200	100	les sénateurs derrière les gardes est jeune	unexpected	5	est
201	101	les sénateurs derrière les gardes sont petits	expected	5	sont
202	101	les sénateurs derrière les gardes est petit	unexpected	5	est
203	102	les sénateurs derrière les gardes sont grands	expected	5	sont
204	102	les sénateurs derrière les gardes est grand	unexpected	5	est
205	103	les sénateurs derrière les gardes déménagent	expected	5	déménagent
206	103	les sénateurs derrière les gardes déménage	unexpected	5	déménage
207	104	les sénateurs derrière les gardes parlent	expected	5	parlent
208	104	les sénateurs derrière les gardes parle	unexpected	5	parle
209	105	les sénateurs derrière les gardes retournent	expected	5	retournent
210	105	les sénateurs derrière les gardes retourne	unexpected	5	retourne
211	106	les professeurs derrière les gardes sont vieux	expected	5	sont
212	106	les professeurs derrière les gardes est vieux	unexpected	5	est
213	107	les professeurs derrière les gardes sont jeunes	expected	5	sont
214	107	les professeurs derrière les gardes est jeune	unexpected	5	est
215	108	les professeurs derrière les gardes sont petits	expected	5	sont
216	108	les professeurs derrière les gardes est petit	unexpected	5	est
217	109	les professeurs derrière les gardes sont grands	expected	5	sont
218	109	les professeurs derrière les gardes est grand	unexpected	5	est
219	110	les professeurs derrière les gardes déménagent	expected	5	déménagent
220	110	les professeurs derrière les gardes déménage	unexpected	5	déménage
221	111	les professeurs derrière les gardes parlent	expected	5	parlent
222	111	les professeurs derrière les gardes parle	unexpected	5	parle
223	112	les professeurs derrière les gardes retournent	expected	5	retournent
224	112	les professeurs derrière les gardes retourne	unexpected	5	retourne
225	113	les clients derrière les gardes sont vieux	expected	5	sont
226	113	les clients derrière les gardes est vieux	unexpected	5	est
227	114	les clients derrière les gardes sont jeunes	expected	5	sont
228	114	les clients derrière les gardes est jeune	unexpected	5	est
229	115	les clients derrière les gardes sont petits	expected	5	sont
230	115	les clients derrière les gardes est petit	unexpected	5	est
231	116	les clients derrière les gardes sont grands	expected	5	sont
232	116	les clients derrière les gardes est grand	unexpected	5	est
233	117	les clients derrière les gardes déménagent	expected	5	déménagent
234	117	les clients derrière les gardes déménage	unexpected	5	déménage
235	118	les clients derrière les gardes parlent	expected	5	parlent
236	118	les clients derrière les gardes parle	unexpected	5	parle
237	119	les clients derrière les gardes retournent	expected	5	retournent
238	119	les clients derrière les gardes retourne	unexpected	5	retourne
239	120	les officiers derrière les gardes sont vieux	expected	5	sont
240	120	les officiers derrière les gardes est vieux	unexpected	5	est
241	121	les officiers derrière les gardes sont jeunes	expected	5	sont
242	121	les officiers derrière les gardes est jeune	unexpected	5	est
243	122	les officiers derrière les gardes sont petits	expected	5	sont
244	122	les officiers derrière les gardes est petit	unexpected	5	est
245	123	les officiers derrière les gardes sont grands	expected	5	sont
246	123	les officiers derrière les gardes est grand	unexpected	5	est
247	124	les officiers derrière les gardes déménagent	expected	5	déménagent
248	124	les officiers derrière les gardes déménage	unexpected	5	déménage
249	125	les officiers derrière les gardes parlent	expected	5	parlent
250	125	les officiers derrière les gardes parle	unexpected	5	parle
251	126	les officiers derrière les gardes retournent	expected	5	retournent
252	126	les officiers derrière les gardes retourne	unexpected	5	retourne
253	127	les pilotes derrière les gardes sont vieux	expected	5	sont
254	127	les pilotes derrière les gardes est vieux	unexpected	5	est
255	128	les pilotes derrière les gardes sont jeunes	expected	5	sont
256	128	les pilotes derrière les gardes est jeune	unexpected	5	est
257	129	les pilotes derrière les gardes sont petits	expected	5	sont
258	129	les pilotes derrière les gardes est petit	unexpected	5	est
259	130	les pilotes derrière les gardes sont grands	expected	5	sont
260	130	les pilotes derrière les gardes est grand	unexpected	5	est
261	131	les pilotes derrière les gardes déménagent	expected	5	déménagent
262	131	les pilotes derrière les gardes déménage	unexpected	5	déménage
263	132	les pilotes derrière les gardes parlent	expected	5	parlent
264	132	les pilotes derrière les gardes parle	unexpected	5	parle
265	133	les pilotes derrière les gardes retournent	expected	5	retournent
266	133	les pilotes derrière les gardes retourne	unexpected	5	retourne
267	134	les consultants derrière les gardes sont vieux	expected	5	sont
268	134	les consultants derrière les gardes est vieux	unexpected	5	est
269	135	les consultants derrière les gardes sont jeunes	expected	5	sont
270	135	les consultants derrière les gardes est jeune	unexpected	5	est
271	136	les consultants derrière les gardes sont petits	expected	5	sont
272	136	les consultants derrière les gardes est petit	unexpected	5	est
273	137	les consultants derrière les gardes sont grands	expected	5	sont
274	137	les consultants derrière les gardes est grand	unexpected	5	est
275	138	les consultants derrière les gardes déménagent	expected	5	déménagent
276	138	les consultants derrière les gardes déménage	unexpected	5	déménage
277	139	les consultants derrière les gardes parlent	expected	5	parlent
278	139	les consultants derrière les gardes parle	unexpected	5	parle
279	140	les consultants derrière les gardes retournent	expected	5	retournent
280	140	les consultants derrière les gardes retourne	unexpected	5	retourne
281	141	les auteurs devant les ministres sont vieux	expected	5	sont
282	141	les auteurs devant les ministres est vieux	unexpected	5	est
283	142	les auteurs devant les ministres sont jeunes	expected	5	sont
284	142	les auteurs devant les ministres est jeune	unexpected	5	est
285	143	les auteurs devant les ministres sont petits	expected	5	sont
286	143	les auteurs devant les ministres est petit	unexpected	5	est
287	144	les auteurs devant les ministres sont grands	expected	5	sont
288	144	les auteurs devant les ministres est grand	unexpected	5	est
289	145	les auteurs devant les ministres déménagent	expected	5	déménagent
290	145	les auteurs devant les ministres déménage	unexpected	5	déménage
291	146	les auteurs devant les ministres parlent	expected	5	parlent
292	146	les auteurs devant les ministres parle	unexpected	5	parle
293	147	les auteurs devant les ministres retournent	expected	5	retournent
294	147	les auteurs devant les ministres retourne	unexpected	5	retourne
295	148	les directeurs devant les ministres sont vieux	expected	5	sont
296	148	les directeurs devant les ministres est vieux	unexpected	5	est
297	149	les directeurs devant les ministres sont jeunes	expected	5	sont
298	149	les directeurs devant les ministres est jeune	unexpected	5	est
299	150	les directeurs devant les ministres sont petits	expected	5	sont
300	150	les directeurs devant les ministres est petit	unexpected	5	est
301	151	les directeurs devant les ministres sont grands	expected	5	sont
302	151	les directeurs devant les ministres est grand	unexpected	5	est
303	152	les directeurs devant les ministres déménagent	expected	5	déménagent
304	152	les directeurs devant les ministres déménage	unexpected	5	déménage
305	153	les directeurs devant les ministres parlent	expected	5	parlent
306	153	les directeurs devant les ministres parle	unexpected	5	parle
307	154	les directeurs devant les ministres retournent	expected	5	retournent
308	154	les directeurs devant les ministres retourne	unexpected	5	retourne
309	155	les agriculteurs devant les ministres sont vieux	expected	5	sont
310	155	les agriculteurs devant les ministres est vieux	unexpected	5	est
311	156	les agriculteurs devant les ministres sont jeunes	expected	5	sont
312	156	les agriculteurs devant les ministres est jeune	unexpected	5	est
313	157	les agriculteurs devant les ministres sont petits	expected	5	sont
314	157	les agriculteurs devant les ministres est petit	unexpected	5	est
315	158	les agriculteurs devant les ministres sont grands	expected	5	sont
316	158	les agriculteurs devant les ministres est grand	unexpected	5	est
317	159	les agriculteurs devant les ministres déménagent	expected	5	déménagent
318	159	les agriculteurs devant les ministres déménage	unexpected	5	déménage
319	160	les agriculteurs devant les ministres parlent	expected	5	parlent
320	160	les agriculteurs devant les ministres parle	unexpected	5	parle
321	161	les agriculteurs devant les ministres retournent	expected	5	retournent
322	161	les agriculteurs devant les ministres retourne	unexpected	5	retourne
323	162	les chirurgiens devant les ministres sont vieux	expected	5	sont
324	162	les chirurgiens devant les ministres est vieux	unexpected	5	est
325	163	les chirurgiens devant les ministres sont jeunes	expected	5	sont
326	163	les chirurgiens devant les ministres est jeune	unexpected	5	est
327	164	les chirurgiens devant les ministres sont petits	expected	5	sont
328	164	les chirurgiens devant les ministres est petit	unexpected	5	est
329	165	les chirurgiens devant les ministres sont grands	expected	5	sont
330	165	les chirurgiens devant les ministres est grand	unexpected	5	est
331	166	les chirurgiens devant les ministres déménagent	expected	5	déménagent
332	166	les chirurgiens devant les ministres déménage	unexpected	5	déménage
333	167	les chirurgiens devant les ministres parlent	expected	5	parlent
334	167	les chirurgiens devant les ministres parle	unexpected	5	parle
335	168	les chirurgiens devant les ministres retournent	expected	5	retournent
336	168	les chirurgiens devant les ministres retourne	unexpected	5	retourne
337	169	les sénateurs devant les ministres sont vieux	expected	5	sont
338	169	les sénateurs devant les ministres est vieux	unexpected	5	est
339	170	les sénateurs devant les ministres sont jeunes	expected	5	sont
340	170	les sénateurs devant les ministres est jeune	unexpected	5	est
341	171	les sénateurs devant les ministres sont petits	expected	5	sont
342	171	les sénateurs devant les ministres est petit	unexpected	5	est
343	172	les sénateurs devant les ministres sont grands	expected	5	sont
344	172	les sénateurs devant les ministres est grand	unexpected	5	est
345	173	les sénateurs devant les ministres déménagent	expected	5	déménagent
346	173	les sénateurs devant les ministres déménage	unexpected	5	déménage
347	174	les sénateurs devant les ministres parlent	expected	5	parlent
348	174	les sénateurs devant les ministres parle	unexpected	5	parle
349	175	les sénateurs devant les ministres retournent	expected	5	retournent
350	175	les sénateurs devant les ministres retourne	unexpected	5	retourne
351	176	les professeurs devant les ministres sont vieux	expected	5	sont
352	176	les professeurs devant les ministres est vieux	unexpected	5	est
353	177	les professeurs devant les ministres sont jeunes	expected	5	sont
354	177	les professeurs devant les ministres est jeune	unexpected	5	est
355	178	les professeurs devant les ministres sont petits	expected	5	sont
356	178	les professeurs devant les ministres est petit	unexpected	5	est
357	179	les professeurs devant les ministres sont grands	expected	5	sont
358	179	les professeurs devant les ministres est grand	unexpected	5	est
359	180	les professeurs devant les ministres déménagent	expected	5	déménagent
360	180	les professeurs devant les ministres déménage	unexpected	5	déménage
361	181	les professeurs devant les ministres parlent	expected	5	parlent
362	181	les professeurs devant les ministres parle	unexpected	5	parle
363	182	les professeurs devant les ministres retournent	expected	5	retournent
364	182	les professeurs devant les ministres retourne	unexpected	5	retourne
365	183	les clients devant les ministres sont vieux	expected	5	sont
366	183	les clients devant les ministres est vieux	unexpected	5	est
367	184	les clients devant les ministres sont jeunes	expected	5	sont
368	184	les clients devant les ministres est jeune	unexpected	5	est
369	185	les clients devant les ministres sont petits	expected	5	sont
370	185	les clients devant les ministres est petit	unexpected	5	est
371	186	les clients devant les ministres sont grands	expected	5	sont
372	186	les clients devant les ministres est grand	unexpected	5	est
373	187	les clients devant les ministres déménagent	expected	5	déménagent
374	187	les clients devant les ministres déménage	unexpected	5	déménage
375	188	les clients devant les ministres parlent	expected	5	parlent
376	188	les clients devant les ministres parle	unexpected	5	parle
377	189	les clients devant les ministres retournent	expected	5	retournent
378	189	les clients devant les ministres retourne	unexpected	5	retourne
379	190	les officiers devant les ministres sont vieux	expected	5	sont
380	190	les officiers devant les ministres est vieux	unexpected	5	est
381	191	les officiers devant les ministres sont jeunes	expected	5	sont
382	191	les officiers devant les ministres est jeune	unexpected	5	est
383	192	les officiers devant les ministres sont petits	expected	5	sont
384	192	les officiers devant les ministres est petit	unexpected	5	est
385	193	les officiers devant les ministres sont grands	expected	5	sont
386	193	les officiers devant les ministres est grand	unexpected	5	est
387	194	les officiers devant les ministres déménagent	expected	5	déménagent
388	194	les officiers devant les ministres déménage	unexpected	5	déménage
389	195	les officiers devant les ministres parlent	expected	5	parlent
390	195	les officiers devant les ministres parle	unexpected	5	parle
391	196	les officiers devant les ministres retournent	expected	5	retournent
392	196	les officiers devant les ministres retourne	unexpected	5	retourne
393	197	les pilotes devant les ministres sont vieux	expected	5	sont
394	197	les pilotes devant les ministres est vieux	unexpected	5	est
395	198	les pilotes devant les ministres sont jeunes	expected	5	sont
396	198	les pilotes devant les ministres est jeune	unexpected	5	est
397	199	les pilotes devant les ministres sont petits	expected	5	sont
398	199	les pilotes devant les ministres est petit	unexpected	5	est
399	200	les pilotes devant les ministres sont grands	expected	5	sont
400	200	les pilotes devant les ministres est grand	unexpected	5	est
401	201	les pilotes devant les ministres déménagent	expected	5	déménagent
402	201	les pilotes devant les ministres déménage	unexpected	5	déménage
403	202	les pilotes devant les ministres parlent	expected	5	parlent
404	202	les pilotes devant les ministres parle	unexpected	5	parle
405	203	les pilotes devant les ministres retournent	expected	5	retournent
406	203	les pilotes devant les ministres retourne	unexpected	5	retourne
407	204	les consultants devant les ministres sont vieux	expected	5	sont
408	204	les consultants devant les ministres est vieux	unexpected	5	est
409	205	les consultants devant les ministres sont jeunes	expected	5	sont
410	205	les consultants devant les ministres est jeune	unexpected	5	est
411	206	les consultants devant les ministres sont petits	expected	5	sont
412	206	les consultants devant les ministres est petit	unexpected	5	est
413	207	les consultants devant les ministres sont grands	expected	5	sont
414	207	les consultants devant les ministres est grand	unexpected	5	est
415	208	les consultants devant les ministres déménagent	expected	5	déménagent
416	208	les consultants devant les ministres déménage	unexpected	5	déménage
417	209	les consultants devant les ministres parlent	expected	5	parlent
418	209	les consultants devant les ministres parle	unexpected	5	parle
419	210	les consultants devant les ministres retournent	expected	5	retournent
420	210	les consultants devant les ministres retourne	unexpected	5	retourne
421	211	les auteurs derrière les ministres sont vieux	expected	5	sont
422	211	les auteurs derrière les ministres est vieux	unexpected	5	est
423	212	les auteurs derrière les ministres sont jeunes	expected	5	sont
424	212	les auteurs derrière les ministres est jeune	unexpected	5	est
425	213	les auteurs derrière les ministres sont petits	expected	5	sont
426	213	les auteurs derrière les ministres est petit	unexpected	5	est
427	214	les auteurs derrière les ministres sont grands	expected	5	sont
428	214	les auteurs derrière les ministres est grand	unexpected	5	est
429	215	les auteurs derrière les ministres déménagent	expected	5	déménagent
430	215	les auteurs derrière les ministres déménage	unexpected	5	déménage
431	216	les auteurs derrière les ministres parlent	expected	5	parlent
432	216	les auteurs derrière les ministres parle	unexpected	5	parle
433	217	les auteurs derrière les ministres retournent	expected	5	retournent
434	217	les auteurs derrière les ministres retourne	unexpected	5	retourne
435	218	les directeurs derrière les ministres sont vieux	expected	5	sont
436	218	les directeurs derrière les ministres est vieux	unexpected	5	est
437	219	les directeurs derrière les ministres sont jeunes	expected	5	sont
438	219	les directeurs derrière les ministres est jeune	unexpected	5	est
439	220	les directeurs derrière les ministres sont petits	expected	5	sont
440	220	les directeurs derrière les ministres est petit	unexpected	5	est
441	221	les directeurs derrière les ministres sont grands	expected	5	sont
442	221	les directeurs derrière les ministres est grand	unexpected	5	est
443	222	les directeurs derrière les ministres déménagent	expected	5	déménagent
444	222	les directeurs derrière les ministres déménage	unexpected	5	déménage
445	223	les directeurs derrière les ministres parlent	expected	5	parlent
446	223	les directeurs derrière les ministres parle	unexpected	5	parle
447	224	les directeurs derrière les ministres retournent	expected	5	retournent
448	224	les directeurs derrière les ministres retourne	unexpected	5	retourne
449	225	les agriculteurs derrière les ministres sont vieux	expected	5	sont
450	225	les agriculteurs derrière les ministres est vieux	unexpected	5	est
451	226	les agriculteurs derrière les ministres sont jeunes	expected	5	sont
452	226	les agriculteurs derrière les ministres est jeune	unexpected	5	est
453	227	les agriculteurs derrière les ministres sont petits	expected	5	sont
454	227	les agriculteurs derrière les ministres est petit	unexpected	5	est
455	228	les agriculteurs derrière les ministres sont grands	expected	5	sont
456	228	les agriculteurs derrière les ministres est grand	unexpected	5	est
457	229	les agriculteurs derrière les ministres déménagent	expected	5	déménagent
458	229	les agriculteurs derrière les ministres déménage	unexpected	5	déménage
459	230	les agriculteurs derrière les ministres parlent	expected	5	parlent
460	230	les agriculteurs derrière les ministres parle	unexpected	5	parle
461	231	les agriculteurs derrière les ministres retournent	expected	5	retournent
462	231	les agriculteurs derrière les ministres retourne	unexpected	5	retourne
463	232	les chirurgiens derrière les ministres sont vieux	expected	5	sont
464	232	les chirurgiens derrière les ministres est vieux	unexpected	5	est
465	233	les chirurgiens derrière les ministres sont jeunes	expected	5	sont
466	233	les chirurgiens derrière les ministres est jeune	unexpected	5	est
467	234	les chirurgiens derrière les ministres sont petits	expected	5	sont
468	234	les chirurgiens derrière les ministres est petit	unexpected	5	est
469	235	les chirurgiens derrière les ministres sont grands	expected	5	sont
470	235	les chirurgiens derrière les ministres est grand	unexpected	5	est
471	236	les chirurgiens derrière les ministres déménagent	expected	5	déménagent
472	236	les chirurgiens derrière les ministres déménage	unexpected	5	déménage
473	237	les chirurgiens derrière les ministres parlent	expected	5	parlent
474	237	les chirurgiens derrière les ministres parle	unexpected	5	parle
